,empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp
0,14,"{'address': '400 1st Ave S', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2991'}",0,24e4632c2135ddb41ac69737b3b0b09d,46.8731,-96.78644,Fercho YMCA,2020-03-25T14:31:19.618000Z
1,22,"{'address': '1811 University Drive N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2977'}",0,3d449d4adf1002a4d0a31f053bbf1e64,46.90244,-96.7978,University Village,2020-03-25T14:31:19.621000Z
2,9,"{'address': 'NP Ave & 5th St N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2989'}",0,da153eba9a621eede5f5da900d55fc25,46.8758,-96.78567,MATBUS Center Downtown,2020-03-25T14:31:19.622000Z
3,13,"{'address': '650 NP Ave N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2988'}",0,3ca6396b5dacb87ca7624641fe809b5c,46.87581,-96.78996,Renaissance Hall,2020-03-25T14:31:19.623000Z
4,29,"{'address': '1401 Administrative Ave', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2878'}",1,0177ad75c701e1353a03f4ccbf1a0ebe,46.89248,-96.80095,Memorial Union,2020-03-25T14:31:19.626000Z
5,9,"{'address': '425 Broadway N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2983'}",2,c4773c4834f0b393b049134bad2e4f38,46.8811,-96.7874,Great Northern Bicycle Co.,2020-03-25T14:31:19.627000Z
6,6,"{'address': '811 Broadway', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2982'}",2,b7ca5a355d7883dc2f1bef118bb1fd15,46.88471,-96.78766,Sanford Medical Center,2020-03-25T14:31:19.632000Z
7,18,"{'address': '811 2nd Ave N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2986'}",0,e86cee5f936d867f3b4118fea16e4860,46.87917,-96.79275,Barry Hall,2020-03-25T14:31:19.633000Z
8,21,"{'address': '1470 Albrecht Blvd', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2978'}",0,9cce98dcd1fea49df82fd781f2ad46f5,46.89695,-96.80257,High Rise Complex,2020-03-25T14:31:19.634000Z
9,11,"{'address': '1707 Centennial Blvd', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2979'}",0,c8e0f9322a6a435b5067cf63c03c64a9,46.89569,-96.80781,Wallman Wellness Center,2020-03-25T14:31:19.635000Z
10,11,"{'address': '1515 11th Ave N', 'last_updated': 1585146662, 'renting': 0, 'returning': 0, 'uid': 'bcycle_greatrides_2984'}",0,133ed887a01e8487d5a54111fea5ed08,46.88944,-96.80528,T Loft,2020-03-25T14:31:19.642000Z
